"path","area_original","area_refinada","area_proyecto","categoria_proyecto","tipo_prueba_proyecto","confidence","reason"
"07. ICFES FILTRADOS\2003\Marzo\Medios de comunicacion y cultura.pdf","General/No clasificado","MULTI_AREA","","EXAMENES","SABER_11","baja","sin_tokens_claros"
"07. ICFES FILTRADOS\2003\Marzo\Respuestas.xls","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","baja","sin_tokens_claros"
"07. ICFES FILTRADOS\2003\Septiembre\Química Profundización.pdf","General/No clasificado","CIENCIAS_NATURALES","CIENCIAS_NATURALES","EXAMENES","SABER_11","alta","tokens_ciencias"
"07. ICFES FILTRADOS\2003\Septiembre\Química.pdf","General/No clasificado","CIENCIAS_NATURALES","CIENCIAS_NATURALES","EXAMENES","SABER_11","alta","tokens_ciencias"
"07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2 CON RESPUESTAS.pdf","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2.pdf","General/No clasificado","MULTI_AREA","","EXAMENES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2021\ICFES CALENDARIO B\CCNN MARZO 2021.pdf","General/No clasificado","CIENCIAS_NATURALES","CIENCIAS_NATURALES","EXAMENES","SABER_11","alta","tokens_ciencias"
"07. ICFES FILTRADOS\2021\ICFES CALENDARIO B\NATURALES MARCADAS.pdf","General/No clasificado","CIENCIAS_NATURALES","CIENCIAS_NATURALES","CLAVES","SABER_11","alta","tokens_ciencias"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\02.png","General/No clasificado","MULTI_AREA","","EXAMENES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\06.png","General/No clasificado","MULTI_AREA","","EXAMENES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\20.png","General/No clasificado","MULTI_AREA","","EXAMENES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\44.png","General/No clasificado","MULTI_AREA","","EXAMENES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\04.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\05.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\11.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\15.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\16.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\23.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\26.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\31.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\33.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\34.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\40.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\42.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\Calendario B.pdf","General/No clasificado","MULTI_AREA","","EXAMENES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0001.jpg","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0007.jpg","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0018.jpg","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
