"source_relative_path","source_absolute_path","coleccion","area_refinada","area_proyecto","categoria_proyecto","tipo_prueba_proyecto","grado_objetivo","extension","size_bytes","size_kb","sha256","confidence","reason","ingest_priority","descripcion_sugerida"
"04. SIMULACROS\CIENCIAS\General\08\cuadernillo_apoyo.pdf pruebas saber.pdf","C:\Users\ARMAN\OneDrive\Documents\examen\material\04. SIMULACROS\CIENCIAS\General\08\cuadernillo_apoyo.pdf pruebas saber.pdf","04. SIMULACROS","MULTI_AREA",,"SIMULACROS","SIMULACRO","11",".pdf","3890358","3799,18","9E33A0C2B8B832697469B7C56B629ED3AE0DD2E5146D222EDA038109F16021DA","baja","sin_tokens_claros","alta","Origen=material/04. SIMULACROS\CIENCIAS\General\08\cuadernillo_apoyo.pdf pruebas saber.pdf | Clasif=sin_tokens_claros"
"04. SIMULACROS\CIENCIAS\General\08\doku.pub_competencia-exito-helmer-pardo-pineda-libro-para-la-prueba-icfes.pdf","C:\Users\ARMAN\OneDrive\Documents\examen\material\04. SIMULACROS\CIENCIAS\General\08\doku.pub_competencia-exito-helmer-pardo-pineda-libro-para-la-prueba-icfes.pdf","04. SIMULACROS","MULTI_AREA",,"SIMULACROS","SIMULACRO","11",".pdf","474990795","463858,2","3F3097024C22FFFBFA17688D5707735EF9D8CB1ACE91F6C97429FDC62D6CC701","baja","sin_tokens_claros","alta","Origen=material/04. SIMULACROS\CIENCIAS\General\08\doku.pub_competencia-exito-helmer-pardo-pineda-libro-para-la-prueba-icfes.pdf | Clasif=sin_tokens_claros"
"04. SIMULACROS\CIENCIAS\General\09\2. Simulacro - Nuevo Expl@rando.pdf","C:\Users\ARMAN\OneDrive\Documents\examen\material\04. SIMULACROS\CIENCIAS\General\09\2. Simulacro - Nuevo Expl@rando.pdf","04. SIMULACROS","MULTI_AREA",,"SIMULACROS","SIMULACRO","11",".pdf","5963179","5823,42","20D588B4C102F00F2D623CAA7C026B7442D8121C9C4A4BA6ABA7A445FFFC9412","baja","sin_tokens_claros","alta","Origen=material/04. SIMULACROS\CIENCIAS\General\09\2. Simulacro - Nuevo Expl@rando.pdf | Clasif=sin_tokens_claros"
"07. ICFES FILTRADOS\2003\Marzo\Medios de comunicacion y cultura.pdf","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2003\Marzo\Medios de comunicacion y cultura.pdf","07. ICFES FILTRADOS","MULTI_AREA",,"EXAMENES","SABER_11","11",".pdf","139087","135,83","9C319F87D99CE80417B53D6EFDDBBBBD297BA669185282377BC738BE49DF298C","baja","sin_tokens_claros","alta","Origen=material/07. ICFES FILTRADOS\2003\Marzo\Medios de comunicacion y cultura.pdf | Clasif=sin_tokens_claros"
"07. ICFES FILTRADOS\2003\Marzo\Respuestas.xls","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2003\Marzo\Respuestas.xls","07. ICFES FILTRADOS","MULTI_AREA",,"CLAVES","SABER_11","11",".xls","83456","81,5","D88BA687EACF2204C24997D97278E529A01479A4BB54E17206A3F0F0423AA49C","baja","sin_tokens_claros","baja","Origen=material/07. ICFES FILTRADOS\2003\Marzo\Respuestas.xls | Clasif=sin_tokens_claros"
"07. ICFES FILTRADOS\2003\Septiembre\Medio ambiente.pdf","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2003\Septiembre\Medio ambiente.pdf","07. ICFES FILTRADOS","MULTI_AREA",,"EXAMENES","SABER_11","11",".pdf","328720","321,02","E24E0D26AAA09F24E4D746307FA845A40B73A575B344741854B42F3D017ACDD2","media","material_multiarea","alta","Origen=material/07. ICFES FILTRADOS\2003\Septiembre\Medio ambiente.pdf | Clasif=material_multiarea"
"07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\1.pdf","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\1.pdf","07. ICFES FILTRADOS","MULTI_AREA",,"EXAMENES","SABER_11","11",".pdf","102165","99,77","556168E88C42FFC7D9E758E43E65BE73C9E1A8DF29D9C4932DBF8AD12A118455","media","material_multiarea","alta","Origen=material/07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\1.pdf | Clasif=material_multiarea"
"07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\respuestas 1.xls","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\respuestas 1.xls","07. ICFES FILTRADOS","MULTI_AREA",,"CLAVES","SABER_11","11",".xls","14336","14","D2744220E9AE75A924C130A65FB0D7A921031A1C45BA69A3CB9A723BA14A0BF7","media","material_multiarea","baja","Origen=material/07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\respuestas 1.xls | Clasif=material_multiarea"
"07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\respuestas 2.xls","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\respuestas 2.xls","07. ICFES FILTRADOS","MULTI_AREA",,"CLAVES","SABER_11","11",".xls","14848","14,5","E12CAE8E32435AF874FCACE9F3411A0BED5DADBF71344940D0D5CAEB7849A3F2","media","material_multiarea","baja","Origen=material/07. ICFES FILTRADOS\2006\Interdisciplinarias\Medio Ambiente\respuestas 2.xls | Clasif=material_multiarea"
"07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2 CON RESPUESTAS.pdf","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2 CON RESPUESTAS.pdf","07. ICFES FILTRADOS","MULTI_AREA",,"CLAVES","SABER_11","11",".pdf","4893537","4778,84","2F11A023C6824DE858651C02FDC859B6CBCBAE10F9E5035B2A290D5707C199D7","media","material_multiarea","baja","Origen=material/07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2 CON RESPUESTAS.pdf | Clasif=material_multiarea"
"07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2.pdf","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2.pdf","07. ICFES FILTRADOS","MULTI_AREA",,"EXAMENES","SABER_11","11",".pdf","2407127","2350,71","3E6479E820452418F5D9781499C8711828587456E0206539D53E9D7820801F3E","media","material_multiarea","alta","Origen=material/07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2.pdf | Clasif=material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\02.png","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\02.png","07. ICFES FILTRADOS","MULTI_AREA",,"EXAMENES","SABER_11","11",".png","644183","629,08","53E6E1CD4EC38F65173AF20AFB2ABDD1AE9973A2E45ECB17E015A9BC51845403","media","material_multiarea","alta","Origen=material/07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\02.png | Clasif=material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\06.png","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\06.png","07. ICFES FILTRADOS","MULTI_AREA",,"EXAMENES","SABER_11","11",".png","1042301","1017,87","E8932B357F50DE1049FCCCDB7342075A842BCD45E683755D54243D03B3BE4BDC","media","material_multiarea","alta","Origen=material/07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\06.png | Clasif=material_multiarea"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\20.png","C:\Users\ARMAN\OneDrive\Documents\examen\material\07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\20.png","07. ICFES FILTRADOS","MULTI_AREA",,"EXAMENES","SABER_11","11",".png","929638","907,85","B59E94A2DCFEBEFAE0D22474568A4998D5D3386D5339769990D48121C0A238ED","media","material_multiarea","alta","Origen=material/07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\20.png | Clasif=material_multiarea"
